tick,liquidity,price,pool_id,amount0,amount1,total-amount0,total-amount1
-887220,1150097624730994,2.9542784186117494e-51,USDC/WETH-0.3,6.338073776331854e+25,1.8780689404068159e-25,0.0,1.8780689404068159e-25
-887160,98653390708394,2.972056481091058e-51,USDC/WETH-0.3,6.861129551325299e+25,2.0452928330860462e-25,0.0,3.923361773492862e-25
-887100,0,2.98994152722618e-51,USDC/WETH-0.3,6.8405780329206495e+25,2.0514376169186408e-25,0.0,5.974799390411503e-25
-887040,0,3.0079342008163294e-51,USDC/WETH-0.3,6.820088073608258e+25,2.0576008618574337e-25,0.0,8.032400252268936e-25
-886980,0,3.02603514953493e-51,USDC/WETH-0.3,6.7996594889976865e+25,2.0637826233663947e-25,0.0,1.0096182875635331e-24
-886920,0,3.0442450249529325e-51,USDC/WETH-0.3,6.779292095248544e+25,2.0699829570754395e-25,0.0,1.216616583271077e-24
-886860,0,3.0625644825622693e-51,USDC/WETH-0.3,6.758985709073148e+25,2.0762019187822327e-25,0.0,1.4242367751493002e-24
-886800,0,3.0809941817994475e-51,USDC/WETH-0.3,6.7387401477331645e+25,2.0824395644521895e-25,0.0,1.6324807315945192e-24
-886740,0,3.0995347860692893e-51,USDC/WETH-0.3,6.718555229034435e+25,2.0886959502178705e-25,0.0,1.8413503266163065e-24
-886680,0,3.118186962768811e-51,USDC/WETH-0.3,6.69843077133292e+25,2.0949711323818433e-25,0.0,2.050847439854491e-24
-886620,0,3.136951383311245e-51,USDC/WETH-0.3,6.678366593525126e+25,2.101265167414723e-25,0.0,2.260973956595963e-24
-886560,0,3.155828723150211e-51,USDC/WETH-0.3,6.6583625150521e+25,2.10757811195743e-25,0.0,2.4717317677917062e-24
-886500,0,3.1748196618040303e-51,USDC/WETH-0.3,6.638418355893773e+25,2.1139100228204377e-25,0.0,2.68312277007375e-24
-886440,0,3.193924882880184e-51,USDC/WETH-0.3,6.61853393657285e+25,2.120260956986028e-25,0.0,2.8951488657723526e-24
-886380,0,3.213145074099922e-51,USDC/WETH-0.3,6.598709078144495e+25,2.1266309716060347e-25,0.0,3.107811962932956e-24
-886320,0,3.2324809273230144e-51,USDC/WETH-0.3,6.578943602204883e+25,2.1330201240056027e-25,0.0,3.3211139753335165e-24
-886260,0,3.2519331385726653e-51,USDC/WETH-0.3,6.559237330880948e+25,2.1394284716809327e-25,0.0,3.5350568225016094e-24
-886200,0,3.2715024080605575e-51,USDC/WETH-0.3,6.53959008683556e+25,2.1458560723019884e-25,0.0,3.7496424297318086e-24
-886140,0,3.291189440212062e-51,USDC/WETH-0.3,6.5200016932587955e+25,2.15230298371069e-25,0.0,3.964872728102877e-24
-886080,0,3.3109949436915966e-51,USDC/WETH-0.3,6.500471973874865e+25,2.1587692639242235e-25,0.0,4.1807496544952996e-24
-886020,0,3.3309196314281314e-51,USDC/WETH-0.3,6.481000752931619e+25,2.165254971132635e-25,0.0,4.3972751516085635e-24
-885960,0,3.350964220640853e-51,USDC/WETH-0.3,6.461587855207383e+25,2.171760163702135e-25,0.0,4.614451167978776e-24
-885900,0,3.371129432864985e-51,USDC/WETH-0.3,6.442233106002375e+25,2.178284900173301e-25,0.0,4.832279657996106e-24
-885840,0,3.3914159939777557e-51,USDC/WETH-0.3,6.422936331140971e+25,2.184829239262874e-25,0.0,5.050762581922394e-24
-885780,0,3.4118246342245316e-51,USDC/WETH-0.3,6.403697356969888e+25,2.191393239864215e-25,0.0,5.2699019059088156e-24
-885720,0,3.432356088245101e-51,USDC/WETH-0.3,6.384516010355493e+25,2.19797696104745e-25,0.0,5.4896996020135605e-24
-885660,0,3.453011095100117e-51,USDC/WETH-0.3,6.365392118682908e+25,2.2045804620602277e-25,0.0,5.710157648219583e-24
-885600,0,3.473790398297708e-51,USDC/WETH-0.3,6.346325509854204e+25,2.211203802328166e-25,0.0,5.931278028452399e-24
-885540,0,3.4946947458202335e-51,USDC/WETH-0.3,6.327316012286193e+25,2.2178470414551534e-25,0.0,6.153062732597915e-24
-885480,0,3.5157248901512127e-51,USDC/WETH-0.3,6.308363454910797e+25,2.2245102392245534e-25,0.0,6.37551375652037e-24
-885420,0,3.53688158830241e-51,USDC/WETH-0.3,6.289467667172797e+25,2.231193455599502e-25,0.0,6.5986331020803205e-24
-885360,0,3.558165601841087e-51,USDC/WETH-0.3,6.270628479025936e+25,2.2378967507226106e-25,0.0,6.822422777152582e-24
-885300,0,3.579577696917414e-51,USDC/WETH-0.3,6.251845720934547e+25,2.244620184917617e-25,0.0,7.046884795644344e-24
-885240,0,3.6011186442920484e-51,USDC/WETH-0.3,6.233119223870897e+25,2.251363818689536e-25,0.0,7.272021177513296e-24
-885180,0,3.622789219363882e-51,USDC/WETH-0.3,6.21444881931299e+25,2.2581277127249605e-25,0.0,7.497833948785793e-24
-885120,0,3.644590202197951e-51,USDC/WETH-0.3,6.19583433924323e+25,2.2649119278926634e-25,0.0,7.724325141575058e-24
-885060,0,3.666522377553515e-51,USDC/WETH-0.3,6.177275616149912e+25,2.2717165252452497e-25,0.0,7.951496794099584e-24
-885000,0,3.6885865349123045e-51,USDC/WETH-0.3,6.1587724830184725e+25,2.278541566017053e-25,0.0,8.17935095070129e-24
-884940,0,3.7107834685069444e-51,USDC/WETH-0.3,6.140324773339546e+25,2.285387111628193e-25,0.0,8.407889661864109e-24
-884880,0,3.733113977349541e-51,USDC/WETH-0.3,6.121932321098614e+25,2.292253223681873e-25,0.0,8.637114984232297e-24
-884820,0,3.7555788652604383e-51,USDC/WETH-0.3,6.103594960780744e+25,2.299139963967229e-25,0.0,8.86702898062902e-24
-884760,0,3.778178940897163e-51,USDC/WETH-0.3,6.085312527366367e+25,2.306047394458887e-25,0.0,9.097633720074909e-24
-884700,0,3.8009150177835244e-51,USDC/WETH-0.3,6.067084856329137e+25,2.312975577317259e-25,0.0,9.328931277806634e-24
-884640,0,3.8237879143389034e-51,USDC/WETH-0.3,6.0489117836365435e+25,2.3199245748898946e-25,0.0,9.560923735295625e-24
-884580,0,3.846798453907711e-51,USDC/WETH-0.3,6.030793145747739e+25,2.3268944497117867e-25,0.0,9.793613180266804e-24
-884520,0,3.8699474647890256e-51,USDC/WETH-0.3,6.012728779610596e+25,2.333885264505366e-25,0.0,1.002700170671734e-23
-884460,0,3.8932357802664095e-51,USDC/WETH-0.3,5.994718522662304e+25,2.340897082181857e-25,0.0,1.0261091414935527e-23
-884400,0,3.9166642386379054e-51,USDC/WETH-0.3,5.976762212825669e+25,2.3479299658409773e-25,0.0,1.0495884411519624e-23
-884340,0,3.940233683246209e-51,USDC/WETH-0.3,5.958859688511579e+25,2.3549839787730406e-25,0.0,1.0731382809396928e-23
-884280,0,3.963944962509028e-51,USDC/WETH-0.3,5.941010788611882e+25,2.362059184457304e-25,0.0,1.096758872784266e-23
-884220,0,3.987798929949625e-51,USDC/WETH-0.3,5.9232153525029915e+25,2.3691556465645224e-25,0.0,1.1204504292499111e-23
-884160,0,4.011796444227537e-51,USDC/WETH-0.3,5.90547322004221e+25,2.3762734289566516e-25,0.0,1.1442131635394778e-23
-884100,0,4.0359383691694854e-51,USDC/WETH-0.3,5.887784231565239e+25,2.3834125956869924e-25,0.0,1.1680472894963476e-23
-884040,0,4.060225573800472e-51,USDC/WETH-0.3,5.8701482278881735e+25,2.3905732110021506e-25,0.0,1.1919530216063692e-23
-883980,0,4.08465893237506e-51,USDC/WETH-0.3,5.852565050301654e+25,2.39775533934083e-25,0.0,1.2159305749997776e-23
-883920,0,4.109239324408845e-51,USDC/WETH-0.3,5.83503454057357e+25,2.40495904533609e-25,0.0,1.2399801654531385e-23
-883860,0,4.133967634710113e-51,USDC/WETH-0.3,5.817556540944363e+25,2.4121843938145936e-25,0.0,1.2641020093912844e-23
-883800,0,4.15884475341169e-51,USDC/WETH-0.3,5.8001308941285815e+25,2.41943144979841e-25,0.0,1.2882963238892685e-23
-883740,0,4.183871576002987e-51,USDC/WETH-0.3,5.782757443309507e+25,2.426700278503962e-25,0.0,1.3125633266743082e-23
-883680,0,4.2090490033622326e-51,USDC/WETH-0.3,5.765436032142844e+25,2.433990945344734e-25,0.0,1.3369032361277554e-23
-883620,0,4.234377941788897e-51,USDC/WETH-0.3,5.748166504751361e+25,2.441303515930218e-25,0.0,1.3613162712870578e-23
-883560,0,4.2598593030363255e-51,USDC/WETH-0.3,5.7309487057235524e+25,2.4486380560665165e-25,0.0,1.385802651847723e-23
-883500,0,4.285494004344548e-51,USDC/WETH-0.3,5.7137824801157955e+25,2.455994631758443e-25,0.0,1.4103625981653073e-23
-883440,0,4.311282968473304e-51,USDC/WETH-0.3,5.696667673447421e+25,2.4633733092086265e-25,0.0,1.4349963312573934e-23
-883380,0,4.337227123735255e-51,USDC/WETH-0.3,5.67960413169903e+25,2.4707741548179546e-25,0.0,1.459704072805573e-23
-883320,0,4.3633274040294016e-51,USDC/WETH-0.3,5.662591701315965e+25,2.478197235188287e-25,0.0,1.4844860451574558e-23
-883260,0,4.3895847488747e-51,USDC/WETH-0.3,5.645630229200005e+25,2.4856426171200443e-25,0.0,1.5093424713286564e-23
-883200,0,4.416000103443882e-51,USDC/WETH-0.3,5.628719562713858e+25,2.493110367615369e-25,0.0,1.5342735750048098e-23
-883140,0,4.4425744185974777e-51,USDC/WETH-0.3,5.61185954967601e+25,2.5006005538770686e-25,0.0,1.5592795805435806e-23
-883080,0,4.4693086509180433e-51,USDC/WETH-0.3,5.595050038362064e+25,2.508113243310425e-25,0.0,1.5843607129766847e-23
-883020,0,4.496203762744596e-51,USDC/WETH-0.3,5.578290877501e+25,2.51564850352274e-25,0.0,1.6095171980119123e-23
-882960,0,4.52326072220725e-51,USDC/WETH-0.3,5.5615819162758095e+25,2.5232064023248383e-25,0.0,1.6347492620351606e-23
-882900,0,4.550480503262072e-51,USDC/WETH-0.3,5.544923004320123e+25,2.530787007730768e-25,0.0,1.6600571321124684e-23
-882840,0,4.577864085726139e-51,USDC/WETH-0.3,5.528313991718827e+25,2.5383903879593023e-25,0.0,1.6854410359920614e-23
-882780,0,4.6054124553128024e-51,USDC/WETH-0.3,5.5117547290060165e+25,2.5460166114342446e-25,0.0,1.7109012021064038e-23
-882720,0,4.633126603667177e-51,USDC/WETH-0.3,5.4952450671629565e+25,2.553665746784722e-25,0.0,1.736437859574251e-23
-882660,0,4.661007528401835e-51,USDC/WETH-0.3,5.4787848576167295e+25,2.5613378628457917e-25,0.0,1.762051238202709e-23
-882600,0,4.689056233132715e-51,USDC/WETH-0.3,5.462373952241119e+25,2.5690330286600944e-25,0.0,1.7877415684893102e-23
-882540,0,4.7172737275152503e-51,USDC/WETH-0.3,5.446012203352626e+25,2.5767513134772507e-25,0.0,1.8135090816240828e-23
-882480,0,4.745661027280711e-51,USDC/WETH-0.3,5.429699463708819e+25,2.5844927867543114e-25,0.0,1.8393540094916257e-23
-882420,0,4.77421915427277e-51,USDC/WETH-0.3,5.413435586511399e+25,2.592257518158468e-25,0.0,1.8652765846732103e-23
-882360,0,4.802949136484282e-51,USDC/WETH-0.3,5.397220425398781e+25,2.600045577564792e-25,0.0,1.8912770404488584e-23
-882300,0,4.831852008094291e-51,USDC/WETH-0.3,5.381053834449492e+25,2.6078570350590956e-25,0.0,1.9173556107994493e-23
-882240,0,4.8609288095052545e-51,USDC/WETH-0.3,5.364935668178559e+25,2.615691960937477e-25,0.0,1.9435125304088242e-23
-882180,0,4.890180587380496e-51,USDC/WETH-0.3,5.348865781536486e+25,2.6235504257070755e-25,0.0,1.9697480346658947e-23
-882120,0,4.919608394681882e-51,USDC/WETH-0.3,5.332844029909394e+25,2.6314325000874217e-25,0.0,1.996062359666769e-23
-882060,0,4.949213290707721e-51,USDC/WETH-0.3,5.3168702691152e+25,2.6393382550098363e-25,0.0,2.0224557422168674e-23
-882000,0,4.9789963411309004e-51,USDC/WETH-0.3,5.300944355404999e+25,2.6472677616193874e-25,0.0,2.0489284198330613e-23
