tick,liquidity,price,pool_id,amount0,amount1,total-amount0,total-amount1
-887220,71124428655530,2.9542784186117494e-49,WBTC/WETH-0.3,3.919596618796948e+22,1.1614368857893672e-26,0.0,1.1614368857893672e-26
-887160,80064092962998,2.972056481091058e-49,WBTC/WETH-0.3,8.306892412280213e+22,2.476272658744911e-26,0.0,3.637709544534278e-26
-887100,0,2.9899415272261805e-49,WBTC/WETH-0.3,8.282010320924942e+22,2.483712258567687e-26,0.0,6.121421803101964e-26
-887040,0,3.0079342008163295e-49,WBTC/WETH-0.3,8.257202760265027e+22,2.4911742095823262e-26,0.0,8.61259601268429e-26
-886980,0,3.0260351495349303e-49,WBTC/WETH-0.3,8.232469507055664e+22,2.49865857894005e-26,0.0,1.1111254591624342e-25
-886920,0,3.0442450249529327e-49,WBTC/WETH-0.3,8.207810338717997e+22,2.506165433992994e-26,0.0,1.3617420025617337e-25
-886860,0,3.0625644825622694e-49,WBTC/WETH-0.3,8.183225033342345e+22,2.51369484229639e-26,0.0,1.6131114867913726e-25
-886800,0,3.0809941817994475e-49,WBTC/WETH-0.3,8.15871336968414e+22,2.5212468716085672e-26,0.0,1.8652361739522294e-25
-886740,0,3.0995347860692897e-49,WBTC/WETH-0.3,8.134275127157648e+22,2.5288215898902235e-26,0.0,2.118118332941252e-25
-886680,0,3.118186962768811e-49,WBTC/WETH-0.3,8.10991008584318e+22,2.5364190653078842e-26,0.0,2.37176023947204e-25
-886620,0,3.1369513833112445e-49,WBTC/WETH-0.3,8.08561802647549e+22,2.5440393662315353e-26,0.0,2.626164176095193e-25
-886560,0,3.155828723150211e-49,WBTC/WETH-0.3,8.06139873044862e+22,2.551682561237353e-26,0.0,2.8813324322189287e-25
-886500,0,3.1748196618040306e-49,WBTC/WETH-0.3,8.037251979809054e+22,2.5593487191067954e-26,0.0,3.1372673041296084e-25
-886440,0,3.1939248828801843e-49,WBTC/WETH-0.3,8.013177557260413e+22,2.5670379088293307e-26,0.0,3.3939710950125417e-25
