date,volumeUSD,totalValueLockedUSD,priceUSD,feesUSD,open,high,low,close,token_id
2022-09-23,34081211.910641305,807488268.4907904,1.0,39890.65144863672,1.0,1.0005556325072278,0.9997543541760886,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-22,47049035.39380709,807482027.786109,1.0,47731.178525260664,1.0,1.0017630771604669,0.9996083231769802,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-21,79637297.0304006,758128882.0707554,1.0,83007.7636014787,1.0,1.00156343132119,0.9983011888249516,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-20,54441397.42021253,784014389.3500739,1.0,42722.39663334464,1.0,1.001037178825679,0.999600777670538,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-19,68648476.29492657,786178799.7480898,1.0,43798.212720473966,1.0,1.0005303844856528,0.9992487633266592,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-18,43112160.92579601,781981007.2322141,1.0,24463.827972441224,1.0,1.000316111163986,0.9997115958330406,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-17,36084833.82723697,791215881.3728113,1.0,14651.96332930146,1.0,1.0002881888460264,0.9999860757971332,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-16,33610756.265664846,780286826.3994454,1.0,15587.117979814504,1.0,1.0002877848230656,1.0,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-15,113042584.2021884,781436190.3036709,1.0,74082.98823776757,1.0,1.0011519446565955,0.9991656377076876,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-14,175044972.0303576,780940477.6622386,1.0,63450.962626243505,1.0,1.0002936362770927,0.9997447413044734,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-13,235628945.5612237,790662591.2135884,1.0,96508.92814261984,1.0,1.0009566945162012,0.999996796380652,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-12,71621188.81905994,794010520.7159469,1.0,39250.653683717785,1.0,1.000185336297131,0.9995295162553384,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-11,45789204.30623218,805850940.6490431,1.0,27172.183105928303,1.0,1.0003721868388387,0.9997969109475358,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-09-10,38792529.905513294,813806482.3113796,1.0,29310.004361702762,1.0,1.0013203188281976,0.9990359501592784,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
