id,date,volumeETH,volumeUSD,volumeUSDUntracked,feesUSD,txCount,tvlUSD
19260,1664064000,41808.96984756841540054928614069313,55246253.10123311543487006944284265,0,64983.20993309552086495656747326355,20552279,10504721785.33476754884267158424524
19259,1663977600,411917.668920571420170830294365871,548059851.4982977532110679378439496,0,607927.8985586753817325945061931862,20544737,10445415098.16606953531631630606567
19258,1663891200,684975.3311218756633673456120045697,895732932.5320392183943394108234407,0,1196517.894051384910294894360261242,20497170,10500764534.69024577146600810209887
19257,1663804800,677680.2525415679185679451563958968,869577845.9258006669805956222923204,0,1122297.620916022671321777081253503,20434882,10490544001.69283982875454940389994
19256,1663718400,833642.4632467218565925091173449278,1100907057.866486558540979049417866,0,1502771.602234087556472982341012162,20380129,9906515571.516406653776277337647054
19255,1663632000,591287.3913404797180041719581382557,798469129.2650919530909301356046611,0,921279.0084503135430021511319147161,20320696,10380615682.18416139106460153257958
19254,1663545600,697530.9447051514800439371386718353,926680318.6769682426998339406443788,0,1154591.025574601760818055792595689,20269769,10707832977.33966695988233276503244
19253,1663459200,404692.100219272434291384133515293,564883004.2732259979970286854800158,0,790485.6387412667889777626237352408,20205529,10393268507.48146761264495012965867
19252,1663372800,318818.8855416650137494715034828732,461053628.6232096356908469808138084,0,589916.5873256505776669030106114867,20151336,11207678053.66141948341518561897289
19251,1663286400,581163.233726830758721880301528335,839677120.4872193758859700718296498,0,939996.640065253015526469905716025,20104034,10940272560.18378906742915726644841
19250,1663200000,909855.2954124450884904755939796625,1420416674.302085782375481087302005,0,1707466.305910510341822636730302955,20053524,11122637858.97298447942407562979973
19249,1663113600,731742.8881879254783608592926719766,1171051870.03929066537795171651929,0,1180791.471696549086034907898897552,19994544,12010766353.74796025351317794744873
19248,1663027200,1050574.942604595135629381215430433,1733501165.456274238890291379900174,0,1901312.728255429947066209091063439,19941632,11745177690.92687534201017238803183
19247,1662940800,588054.9510577121369701022656059569,1019936616.903461367977037291546949,0,1105622.014110799998426109983813296,19882258,12633855400.61450537352038002165263
19246,1662854400,384791.0921078815508141320243535316,678554089.9166549694917570502382005,0,784988.6685991925529055505071096372,19838219,12949635006.35620843379856077342794
19245,1662768000,449491.1617492618482701658019333111,779143053.567724380946724939711927,0,825827.5151902110648211266214351946,19796024,13123196210.50115288857680201789722
19244,1662681600,619461.517375570154507420410497976,1053911624.009981599848871422442858,0,1262655.739016096928242487486294158,19756873,12759694073.14906983657127280538114
19243,1662595200,576142.2357334336220457626611274368,939146116.590671266774377738442448,0,1193857.198532043424982072551605642,19713491,12243231398.25758429810273532410013
19242,1662508800,815779.1529422053845889909732129685,1265467791.690590580172194555772165,0,1417864.887261377048640475343012903,19669555,12201935630.95303693801111551517446
19241,1662422400,822859.9943293088099841412330210638,1341786433.440370609847756327055346,0,1506562.124402764222001780195203411,19622299,11849809487.67034311653421438428857
