id,date,volumeETH,volumeUSD,volumeUSDUntracked,feesUSD,txCount,totalValueLockedUSD
19260,1664064000,42969.11178118112967491057937144147,56784425.24970289075582547700084968,0,66661.03247213506486039249977025225,20552673,3779229052.854886037663166387200786
19259,1663977600,411919.5931978148803080630661541877,548062411.0703528567599294927653008,0,607928.8584299254464370943424747866,20544737,3764868751.944992447889140220913262
19258,1663891200,685005.6839536820886578551170207149,895772783.6724875607888060357901996,0,1196587.672238011722724074517554304,20497170,3768647803.232317866150488235632406
19257,1663804800,677703.8465984614700705322348582553,869608446.7074058154525101431451115,0,1122345.964436474178128231235991568,20434882,3747526534.756836015217784078925473
19256,1663718400,833675.3990540668625873681126664709,1100949362.682986266460852354188552,0,1502881.791985075263067507843469826,20380129,3560542287.328013172302979995699919
19255,1663632000,591301.89258773306547605152596532,798488657.708912202128539166731117,0,921334.6180793805892390655803711686,20320696,3663195487.449120337145054499184164
19254,1663545600,697579.4522965095142004328478480571,926744264.7896226341421392574140515,0,1154748.172271274099205830206051886,20269769,3711995299.037075419028753584598873
19253,1663459200,404711.0660980476014466453986664653,564908978.9816359166940963241073628,0,790534.474009116516835465473918502,20205529,3613835337.709625985581865153534816
19252,1663372800,319053.2501431520072747454537915066,461392829.7145083006713257440318022,0,590088.7922529436281814801047582452,20151336,3748393534.801543737517939700453037
19251,1663286400,581176.1910208486005171436744939955,839695979.1615292483174113832095482,0,940047.7191900362456292168244484646,20104034,3669515839.84928540259532392823948
19250,1663200000,909879.2830482367807648431422530121,1420452931.965336170122814337787304,0,1707516.536449103772440674378467118,20053524,3632287692.509301209324889282698345
19249,1663113600,731761.9772999560884705916250175236,1171082325.002367918176756520778899,0,1180874.903805438854316316638344795,19994544,3704318097.519808547225227594040731
19248,1663027200,1050578.133650789132975662616888288,1733506536.245379560342642870108621,0,1901329.042254032270142399014553044,19941632,3747691227.365056108103917421713544
19247,1662940800,588084.1764007136540813981876024099,1019986976.860055264422095770755056,0,1105720.019962020942569145007380118,19882258,3950106885.125772751646753349091846
19246,1662854400,384793.5041934565153617677754956473,678558356.8471378414714130152295652,0,784994.8944970192376568480267696718,19838219,4003230413.714849795619347349324754
19245,1662768000,449517.7969747536602798078950020627,779189042.5233266756302905989831038,0,825907.7640260017228366231883828113,19796024,4092626432.078349869640007299966031
19244,1662681600,619484.8607884927464750299802589132,1053951048.812153127154175377569155,0,1262767.176090700799844379817790562,19756873,4047999430.805179643382799495801343
19243,1662595200,576194.7967519082012597615081618144,939231994.3778498511748130394223979,0,1194100.929415551712256346170280802,19713491,3937779532.350640420444771732989181
19242,1662508800,815864.2417230023284900219880665253,1265600653.552562293346260744164837,0,1418084.418990606169517205238058947,19669555,3916049149.733862532357107590644402
19241,1662422400,822900.5412099442533759853523278374,1341853233.764287955319989530622387,0,1506712.915644560347518767940859089,19622299,3901239370.648882649852336224959113
19240,1662336000,484762.2018826461134460401420763745,768471916.080258906825372908987852,0,865124.7502206549046894734208393225,19567894,4040840835.368676546858036487718631
19239,1662249600,360038.2705934561753177971771404481,561662575.7706112036291331280864229,0,595432.6005907220635363045576298616,19527211,4077487696.379538835325506398089663
19238,1662163200,373455.5498886789367747283564951576,580954223.0223038523344532144111296,0,685771.7294896990947035380763336934,19491294,4145729363.578272034801866165973318
19237,1662076800,733643.150901670385860438044195522,1171297848.513454030699555243869586,0,1477151.063953554902440953240297613,19454318,4145396069.828293608955965414819409
19236,1661990400,683124.3019977434741145170191560908,1063512636.486053217324585190229428,0,1231843.925246234481476466929190712,19408376,4154953077.78978282684238831777707
19235,1661904000,908225.8458662757101486811494220461,1433519156.804005128748720420153409,0,1590608.747654844492416560382528923,19365489,4066898006.70277292901715994128238
19234,1661817600,841392.0358024350619661510278877315,1302930356.292836064743045488752184,0,1532576.873009211305031311121085506,19320900,4084580639.482050013032217409156663
19233,1661731200,729422.9784403908882571089523647153,1086456006.659844169462564436203182,0,1188012.467873879081824202733212215,19272844,4079178681.671331473801413900028638
19232,1661644800,594068.9588823855442704240801100702,879987078.3770895462989533190131007,0,857696.4002418827387289041805414697,19223367,3855585693.300151283817689778338806
19231,1661558400,625933.1313121527327022598549486833,930910396.7008680706047982774686101,0,1042474.430665310867012510603267779,19179188,3934081073.012751044161559140057202
19230,1661472000,864079.3899925225969645863337379871,1398256662.288311467084323241451949,0,1848210.046758077241638584455461529,19126773,3943020338.620691043717042394422491
19229,1661385600,466028.7978074740375369185833419668,790360620.3543974995565695035341469,0,1087481.317260898670388525024005726,19068400,4116655176.622518525216654102063163
19228,1661299200,600171.8022987339067461487721921686,992120965.7615301826319509971216801,0,1030560.515128660878435818778996145,19021314,4065335758.099771529105652829968977
19227,1661212800,910144.4648317063283436816050485049,1480709848.939724990263129842837466,0,1443743.643322949881621880234273948,18981142,4055964554.093174009361877621940268
19226,1661126400,724873.9692341139718062658280990013,1143030838.016644448353534363379188,0,1297072.280046578290792826826005721,18936176,3995649578.672837320473341654108115
19225,1661040000,670101.68317602954900329040724463,1078535687.834121778800842540681513,0,1238398.324131549862969587457565195,18891457,4069743066.225094921117549536992255
19224,1660953600,806210.2358271595220446098934251758,1292142895.031544984454618751151735,0,1232656.875259292848067455856855937,18841367,4014351029.701837068539095698871863
19223,1660867200,1074071.50381745638894588619911729,1845298233.16972427841605829546285,0,1904447.53819629471856750828412694,18794402,4065365928.45499060504848271242836
19222,1660780800,455981.3370375459943054370604775773,847336459.7389853026726051174496811,0,886695.9048598608717597240950705452,18735749,4301227277.495110214133448976989151
19221,1660694400,738066.1669507065202886330227779284,1380814764.916213555650083048209684,0,1459186.460276448889432980045172637,18695963,4319933295.285834056049797394379403
19220,1660608000,532383.8434788137595892014850389346,1002389583.613489990595806366413234,0,1060710.884664424723568003344391616,18645914,4367504020.747225064532737260392186
19219,1660521600,719655.6084261924102362290559635846,1382324825.834217823190950839953924,0,1488866.586333739314434026562457716,18601566,4373392970.556716051300099067206194
19218,1660435200,441033.8919195109776476263088480682,868918425.0219732043719777570925693,0,1026270.919865899571428724971615418,18551435,4427083116.791150729627059710327582
19217,1660348800,504237.6730259262782759902843020001,1001238914.471690893148314212950799,0,889549.5509165432657094260324709204,18501344,4495193877.82737299846536500826316
19216,1660262400,502974.1650118531697758878887680512,954757662.5104212072873091952543511,0,943842.1395756302337139278862101792,18453353,4510454473.454648633584008079823685
19215,1660176000,880662.6562294529880220227326734921,1667563974.736398321958788007642949,0,1539181.645251150776015526003479321,18413571,4624853924.666360752542314863087184
19214,1660089600,882328.6620391504516804400659068533,1570641452.578686159801130860923221,0,1714502.082166716047173046490842552,18366830,4682785578.82462137320474205418489
19213,1660003200,676218.0919463108362664708745362484,1162309517.899443498211405074779609,0,1118743.017832114171069848114701457,18320664,4492782105.471764281826248918181451
19212,1659916800,661091.7163735677266975045092972194,1165030866.155094963132562478909372,0,1234853.174495820468075772014677741,18278046,4558987538.265536995290691309888792
19211,1659830400,326643.454812477811312339744984918,553961614.7292600881824354420162992,0,603396.487516260725169616677486336,18232085,4607873769.735077865197531733346255
19210,1659744000,335015.9124553469788788873269572203,575955172.805535595039754948725445,0,670644.5847836491625022853254430344,18197941,4605132851.742558726219560330743379
19209,1659657600,694242.5988480938050129465927832063,1165080162.565953333883265291872324,0,1353947.432364521648734465810878538,18161057,4649968706.158181711428655018155133
19208,1659571200,568108.4361937925474106590399127722,921088162.8809737445834486912735651,0,1095013.995506647398269935374149577,18116690,4478501960.834769711496029026491297
19207,1659484800,586362.4293731047750544016152506419,960777855.0920121895898941336228939,0,1120610.893691594380495893793486732,18075213,4429202835.154242720257690889142425
19206,1659398400,902514.2965828849778282102004129053,1457904303.496132595262467998848115,0,1678355.047240279230392762125456967,18031928,4395864884.928229074093784281942762
19205,1659312000,674483.4011526073019274877452472191,1118240108.46925078740698471408988,0,1250467.810345902743807628218731051,17985602,4538051673.387245034850695769993492
19204,1659225600,477803.9985052682637311171536918114,814782234.1296902010648598047259581,0,991428.9903683905852713250842170067,17944099,4584098006.912861311722872988911296
19203,1659139200,547877.5134916127879874266450635119,937311550.5366872699502142580501928,0,1142070.225263561733386398342928718,17899011,4598058479.132349103186211216786918
19202,1659052800,825336.5907344394391882718262817188,1413408473.064106032031314578525016,0,1723976.990311738623920031430374606,17851743,4621127776.647884901628175697565494
19201,1658966400,1046237.758253604256128369675736413,1752685290.845602380249522059047609,0,2063029.702901112336011932066810551,17801379,4618564411.383062418955592479090005
19200,1658880000,992518.4346383507356702353131428939,1505477811.263175580765284931752603,0,1622042.919777177215646858878859927,17748921,4548365726.420530406079257499918916
19199,1658793600,877520.732102799038914052286758941,1231655428.911699029973528666391844,0,1250433.847172400743481627334949994,17703538,4369298678.55693808170744581347174
19198,1658707200,854206.1537889757241687022691469446,1297057762.066603569418663412480945,0,1412784.86091464893864718647208525,17665258,4192988377.591882752618769055804604
19197,1658620800,614041.722382114420020729091972424,981879297.9154447016441672273073025,0,1079241.720094872997948893509763271,17624536,4341078849.432056840407003618321981
19196,1658534400,576906.1073292623702516765497543118,887960133.2450620879520107863860634,0,977318.120829982756072296452357413,17586347,4300884942.725068350375392042633893
19195,1658448000,694796.5114690404040377780706414562,1099506320.382418217051103985962929,0,1117573.266478871735755983212948273,17547459,4212385565.847237523154071034086559
19194,1658361600,848570.8693435566425830190306032792,1289318383.067143403172311995552899,0,1375388.157874850601881556406073013,17507715,4105155485.43330729163280120371591
19193,1658275200,1011815.724460701680361726569960534,1577455136.229243175642358223323472,0,1798142.72424749366714960400810642,17465071,4106736902.954619157823536184336747
19192,1658188800,1202912.261977170696717177345486568,1860098771.015617594312780747559132,0,2114312.484422683890364505815439277,17417626,4206299435.883792070463037034786723
19191,1658102400,1160300.434097602049453068820384868,1697178082.396836159656580828463247,0,1985461.382977442053770894667088722,17370025,4212804582.867675503387252105567768
19190,1658016000,819669.2325906040904573830893260953,1109743238.244649062980266660883481,0,1322720.380409070141437200594476308,17317553,3861492414.253046505117923686857542
19189,1657929600,898402.9488332309200905789236110766,1153280629.415512794187061289972665,0,1464916.844545656398103764894335651,17280601,3746077597.718500069799967379426722
19188,1657843200,1014048.613205965857451144711368716,1241861603.742016335333393505332186,0,1405392.017943253444747419244820572,17239725,3594534545.678332671797586137411168
19187,1657756800,873990.8434524186567126540561834499,986795266.2705778411993817168549503,0,1192417.08493369974045510399828418,17202220,3547325790.327916404741659796454094
19186,1657670400,1051353.330367189759898429708282853,1117114683.16150660026775041431992,0,1368031.501767439353315540053314579,17165579,3461915576.054365355423881139072902
19185,1657584000,828058.5780492381987348542287673879,885622998.5087933043143231037382241,0,851222.778191098041193539304104264,17126867,3390491537.349399123754895997797592
19184,1657497600,720554.4989294585408089310744466012,819651012.0759338668206948791495943,0,929661.405874158087930681600946216,17090134,3460665165.537486880296169780131216
19183,1657411200,614687.8405203807601587722213490968,724251938.3525562777397807637370739,0,694716.4300083815687753551353774892,17055104,3563517812.56102225380238576715547
19182,1657324800,442203.7440152858872780727110237473,538146197.9107959993216977756007528,0,582869.8436656780333464137820948643,17022370,3724923041.513482835763804941239807
19181,1657238400,968099.5449248368143213695644774112,1192026005.387375329306883158426125,0,1329685.148262715347306505221553059,16992151,3668352794.219503489718483581668671
19180,1657152000,783009.3941653182093243357041537135,942679886.084060536092942655120226,0,966304.1330783781749439377807289517,16955015,3701237394.001306072868539791776335
19179,1657065600,1022658.13594440178427626733630332,1169090709.35398012184764979543679,0,1371631.65310302378870892326869981,16919130,3700016412.692810393418010833757801
19178,1656979200,1017866.620115695592548476834089335,1149137632.507715657906118231103974,0,1271697.137705114702807898134371558,16885125,3635466990.055148002567785331057601
19177,1656892800,855964.9232545380554868115230555022,943556825.0587273779034167590944008,0,1088242.380302342717004357399728371,16847692,3660394869.463736971647377391722742
19176,1656806400,547750.429535682905626420502323459,582436801.0109320669434186517766176,0,706777.4039783880280282901144078085,16811970,3550970299.58678323784200778174084
19175,1656720000,598012.6179175280541151945000039498,629225354.2640519674232702418917346,0,648771.3725113497766962382100154407,16780018,3520456571.455924325204847370821725
19174,1656633600,1255400.654706234218543034603851891,1338733484.412520318333488834378531,0,1512980.291262341597592906985306085,16748086,3478434857.190597909977459204627661
19173,1656547200,1155546.328000493591503156855777744,1202507678.759560310117174710485042,0,1413445.836003150884052917914275942,16709238,3476951929.959884094921091719532391
19172,1656460800,962108.3524968984409315613468442498,1074903857.67710309289756182023676,0,1243343.72068621979621183864241127,16670766,3417582868.026191455703872085271899
19171,1656374400,745411.1136956471821266508260641207,883405743.2246272508521709244623262,0,1138958.599291111547743593437085682,16637007,3496315371.76082223024756852847808
19170,1656288000,569630.5251237974370788578444886416,685943539.3279812618379265526748652,0,769229.0842663643095059335979772573,16605376,3542977686.793074732738160992821565
19169,1656201600,577550.571184581840281787139427396,711440852.3230886021267195273793352,0,998263.174127424467727379413498306,16577942,3526356274.050262393847596357423269
19168,1656115200,550766.5190043921107524073148841689,670277746.1877668774327724747493307,0,917844.1275474752291089425309363048,16549393,3562085642.50457458354091683115098
19167,1656028800,948020.655682448539579155362635677,1124940988.160448113086470158029077,0,1381617.372388583211678899352841452,16519785,3512877568.670892137471798473675995
19166,1655942400,1048794.208149070163806483049997309,1162898653.666220358414630136636836,0,1380445.190714654794191246659567665,16483850,3402754641.926057596885069540552729
19165,1655856000,1051811.834569823933762364997317839,1140640397.44875821189016878724186,0,1438549.156406781380256700914212766,16451741,3236850925.501611369383652662647111
19164,1655769600,1145006.389380873399254332508738466,1312086358.335616189493408218450481,0,1649652.444839262673725257267287372,16413537,3284072470.128509657581499349916622
19163,1655683200,1441356.060384749204347103373928661,1597872057.557794037417776428201838,0,2062805.341144217026027723215681163,16371854,3253535451.8667962207689935105534
19162,1655596800,1794268.636307244285091955987466006,1860508440.19559708918739882836944,0,2332657.994367127531479076326412491,16322808,3199366179.523915575365708827937524
19161,1655510400,1989247.455906130349170413890858765,1945059461.65118870010979071834012,0,2419365.748860222192350772287273999,16270319,3115577436.918796163438141639680576
19160,1655424000,1302424.469646692779369799618218746,1412075155.786820003007530163813391,0,1712816.197051869694083744714114366,16218002,3274897662.584836105095832131460175
19159,1655337600,1523516.42491983885792321335490461,1741222622.859258464151709391759806,0,2088398.268371166804057094404552625,16179770,3176191685.664766806001023343209194
19158,1655251200,2843742.778167051279176726207277612,3224773687.418749401797256665576525,0,3956031.600840161816524570821360223,16130963,3224363855.869039702289882250865418
19157,1655164800,2387494.755204934910074035851935014,2823536742.961628785971359136433241,0,3205611.804601763355186903459861626,16066366,3157632401.034354402348478003152076
19156,1655078400,3183531.430567399858747385358929289,4038023884.108355296259980719193566,0,4442190.899607368129107368589940123,16007114,3186960766.500184917813124192726445
19155,1654992000,1179495.98067432010148902840184963,1737889424.459000204230462632156518,0,1830342.216806610356891507944014508,15936844,3498579344.808179357968949640026711
19154,1654905600,980515.4676280463280301403114942786,1538133533.92219190177160765955295,0,1719362.476027267232959771960481272,15889177,3682174824.169519470597478105582698
19153,1654819200,815445.4294259239616303591627909644,1403613598.975712634772291920665787,0,1500369.884875401146794943978995002,15847942,3922948477.237224949919850860796174
19152,1654732800,409462.08287295199510046332050171,736219287.1612865787625927166597471,0,880690.6628259731083888086907912296,15815031,4026478821.46976717431641336550126
19151,1654646400,687032.7707297522651150881939664455,1238938470.320977461423529548314905,0,1394156.936017557659839269228823009,15786446,4033855292.638931287056713810435031
19150,1654560000,887547.8883286603040163732851171783,1584556992.941994834292340007204203,0,1805447.868978325071722677381428858,15758971,3972196416.371214275290138361923589
19149,1654473600,549447.0363294418310421666614715723,1029660463.86108863069994312332076,0,1172173.131935954989778353992556158,15725277,3951612036.948890040800684397114763
19148,1654387200,358731.3212912336565366525780838579,646008811.1963257507138142163590238,0,648630.6501361693071183462498569461,15690924,3847388472.76702907650383785916429
19147,1654300800,379450.9942550893275007238444673934,673984567.2625229836404666940261552,0,727429.4698163657540285971014712977,15664545,3800791293.127841461967692366797379
19146,1654214400,520017.8007139223561994607409277882,924498813.7108311391961945620850878,0,1000494.709676280563759484006600141,15638836,3750963099.197060132920197896790529
19145,1654128000,608534.3460758331295146606429611485,1106421145.441950238189237588799339,0,1220111.839481120361077843704498009,15612433,3802114312.859745753238263935018274
19144,1654041600,712331.2686259206219445734327284325,1337912398.171697536759545647526314,0,1411659.297457041820197665794059384,15588099,3725737976.725663710801125887639181
19143,1653955200,592033.837050882898659031835648554,1164901703.566417773783508611244745,0,1221444.542486781169055761998244577,15558072,3857057229.830846531839996094223889
19142,1653868800,816967.5386831635465097690450127251,1564499438.639802881086789493668777,0,1659442.789697815579907092402597272,15530129,3862657045.437193746049125214071414
19141,1653782400,327970.8961819256657284451215121469,588562865.2222738626140039630157634,0,624427.6726523882678791465899225211,15496874,3690427446.114803258637256987632367
19140,1653696000,584869.4143573894602128499790315381,1033128767.743684506785632122164126,0,1061877.463860454935324403751228236,15471555,3679697894.187505759061008110436075
19139,1653609600,1014347.508162001324128914137852166,1785826631.43243742536976805095479,0,1862967.065211144616162404592268776,15442597,3546033493.681303303949205579867427
19138,1653523200,1210530.990636962816556501889435941,2245458005.806031323648785035412159,0,2547588.908231657507222519288531285,15402366,3630966350.881040302058445731864669
19137,1653436800,575329.1177151688475870167513809233,1132358032.444794894377876708575609,0,1187131.839004056627108478640271297,15365489,3748872835.718041329290455695963335
19136,1653350400,502045.0566429839255187655791613126,984625154.1408083533285283001155339,0,1184706.569416227957228472739458368,15338712,3785239772.049970769331234278109243
19135,1653264000,645137.0075548444926254467568167056,1315144008.767333485406793893925662,0,1556649.846668820810124998311117579,15307014,3751587140.799581419685237365512449
19134,1653177600,380842.893866473260023640830205002,764698713.1179989237822250699401957,0,1013278.22859689746997140390840828,15269866,3805148444.503414508480918204958365
19133,1653091200,338210.660175564500372196070713766,665488668.6951995222281893332534971,0,686564.3668267408812377593567258291,15240505,3721443767.447041659719839690384298
19132,1653004800,672883.0554000292763554541550320423,1337729716.856759398693568564813247,0,1387848.411460784468385905836372216,15213653,3700369304.159431306343002368660996
19131,1652918400,886489.4179942569982358772799905714,1742305712.099087775620947339956462,0,1990751.122774436237711680723780366,15181856,3648124597.888747702276734473407918
19130,1652832000,726723.9394295806213592413682293836,1448407627.063085946866606348457949,0,1632776.155491776020528184413232805,15141711,3355102666.628316370864798274986566
19129,1652745600,607758.0647575963296052182966375196,1254754116.364776392291042476350447,0,1555447.857129045516341717572493835,15103093,3540586955.935943873163645133639021
19128,1652659200,1009682.931377322625154375809235475,2046243910.843793686307973026494268,0,2460911.778737072052521300306870851,15068087,3428012428.081810576480929847676898
